;tot_actual;actual_0;actual_1;tot_Tree;Tree_0;Tree_1;tot_SVC;SVC_0;SVC_1;tot_MPL;MPL_0;MPL_1;tot_Voting;Voting_0;Voting_1
ALPHA;0.247845;0.250282;0.240000;0.258890;0.259101;0.239047;0.258890;0.259248;0.257547;0.258890;0.264931;0.250505;0.258890;0.260200;0.250109
ALTERNATIVE0_False;0.077586;0.073446;0.090909;0.500710;0.500268;0.542341;0.500710;0.501451;0.497935;0.500710;0.494262;0.509660;0.500710;0.495811;0.533539
ALTERNATIVE0_True;0.922414;0.926554;0.909091;0.499290;0.499732;0.457659;0.499290;0.498549;0.502065;0.499290;0.505738;0.490340;0.499290;0.504189;0.466461
BETA;0.700733;0.697966;0.709636;0.700867;0.700832;0.704151;0.700867;0.700466;0.702369;0.700867;0.700597;0.701241;0.700867;0.700641;0.702384
FPM_DISTRIBUTION_False;0.077586;0.084746;0.054545;0.499130;0.503532;0.084681;0.499130;0.571190;0.229075;0.499130;0.564112;0.408931;0.499130;0.538884;0.232730
FPM_DISTRIBUTION_True;0.922414;0.915254;0.945455;0.500870;0.496468;0.915319;0.500870;0.428810;0.770925;0.500870;0.435888;0.591069;0.500870;0.461116;0.767270
HOUSE_VACANCY;0.060948;0.064350;0.050000;0.077632;0.077911;0.051366;0.077632;0.077655;0.077547;0.077632;0.077584;0.077699;0.077632;0.077898;0.075847
LABOR_MARKET;0.067457;0.072881;0.050000;0.140088;0.140273;0.122646;0.140088;0.139828;0.141062;0.140088;0.141441;0.138210;0.140088;0.140215;0.139238
MARKUP;0.213685;0.197881;0.264545;0.238241;0.237368;0.320465;0.238241;0.203711;0.367649;0.238241;0.228699;0.251486;0.238241;0.220711;0.355715
MEMBERS_PER_FAMILY;2.510776;2.514124;2.500000;2.510673;2.510601;2.517379;2.510673;2.510979;2.509526;2.510673;2.469008;2.568506;2.510673;2.509727;2.517010
PCT_DISTANCE_HIRING;0.187069;0.186780;0.188000;0.244514;0.244228;0.271452;0.244514;0.245151;0.242125;0.244514;0.245282;0.243448;0.244514;0.243376;0.252137
PERCENTAGE_ACTUAL_POP;0.018578;0.018136;0.020000;0.019071;0.019048;0.021284;0.019071;0.019079;0.019042;0.019071;0.019059;0.019088;0.019071;0.019059;0.019151
PERCENTAGE_CHECK_NEW_LOCATION;0.012690;0.008723;0.025455;0.032137;0.031942;0.050499;0.032137;0.029978;0.040229;0.032137;0.031727;0.032706;0.032137;0.030973;0.039939
PROCESSING_ACPS_ARACAJU;0.004310;0.005650;0.000000;0.022320;0.022547;0.000951;0.022320;0.026109;0.008119;0.022320;0.028267;0.014066;0.022320;0.024329;0.008856
PROCESSING_ACPS_BELEM;0.004310;0.005650;0.000000;0.021540;0.021728;0.003806;0.021540;0.024931;0.008831;0.021540;0.028198;0.012299;0.021540;0.023145;0.010782
PROCESSING_ACPS_BELO HORIZONTE;0.073276;0.045198;0.163636;0.021170;0.020334;0.099905;0.021170;0.018749;0.030243;0.021170;0.020938;0.021493;0.021170;0.018790;0.037120
PROCESSING_ACPS_BRASILIA;0.392241;0.508475;0.018182;0.021790;0.022021;0.000000;0.021790;0.026021;0.005935;0.021790;0.032637;0.006734;0.021790;0.024272;0.005160
PROCESSING_ACPS_CAMPINA GRANDE;0.004310;0.005650;0.000000;0.021380;0.021607;0.000000;0.021380;0.024830;0.008451;0.021380;0.027252;0.013230;0.021380;0.023122;0.009704
PROCESSING_ACPS_CAMPINAS;0.008621;0.000000;0.036364;0.021830;0.021738;0.030447;0.021830;0.020041;0.028533;0.021830;0.016774;0.028848;0.021830;0.020916;0.027955
