;tot_actual;actual_0;actual_1;tot_Tree;Tree_0;Tree_1;tot_SVC;SVC_0;SVC_1;tot_MPL;MPL_0;MPL_1;tot_Voting;Voting_0;Voting_1
ALPHA;0.247845;0.248750;0.240000;0.259547;0.261043;0.248816;0.259547;0.261717;0.258048;0.259547;0.262130;0.253433;0.259547;0.260690;0.252988
ALTERNATIVE0_False;0.077586;0.081731;0.041667;0.499300;0.511053;0.415033;0.499300;0.502570;0.497041;0.499300;0.545804;0.389226;0.499300;0.521019;0.374663
ALTERNATIVE0_True;0.922414;0.918269;0.958333;0.500700;0.488947;0.584967;0.500700;0.497430;0.502959;0.500700;0.454196;0.610774;0.500700;0.478981;0.625337
BETA;0.700733;0.700817;0.700000;0.701468;0.701426;0.701770;0.701468;0.701949;0.701136;0.701468;0.701349;0.701750;0.701468;0.701647;0.700441
FPM_DISTRIBUTION_False;0.077586;0.086538;0.000000;0.486600;0.501139;0.382353;0.486600;0.494737;0.480981;0.486600;0.554196;0.326599;0.486600;0.515031;0.323450
FPM_DISTRIBUTION_True;0.922414;0.913462;1.000000;0.513400;0.498861;0.617647;0.513400;0.505263;0.519019;0.513400;0.445804;0.673401;0.513400;0.484969;0.676550
HOUSE_VACANCY;0.060948;0.062212;0.050000;0.077358;0.078889;0.066383;0.077358;0.077254;0.077430;0.077358;0.077352;0.077373;0.077358;0.078180;0.072641
LABOR_MARKET;0.067457;0.069471;0.050000;0.139637;0.141417;0.126873;0.139637;0.139637;0.139637;0.139637;0.140794;0.136898;0.139637;0.140448;0.134982
MARKUP;0.213685;0.209495;0.250000;0.237443;0.234938;0.255397;0.237443;0.241724;0.234486;0.237443;0.238405;0.235165;0.237443;0.236116;0.245052
MEMBERS_PER_FAMILY;2.510776;2.512019;2.500000;2.513869;2.513539;2.516241;2.513869;2.507860;2.518020;2.513869;2.489668;2.571155;2.513869;2.506549;2.555878
PCT_DISTANCE_HIRING;0.187069;0.189038;0.170000;0.245042;0.246254;0.236348;0.245042;0.245859;0.244478;0.245042;0.247372;0.239526;0.245042;0.246415;0.237162
PERCENTAGE_ACTUAL_POP;0.018578;0.018413;0.020000;0.018963;0.018940;0.019126;0.018963;0.019049;0.018904;0.018963;0.018933;0.019034;0.018963;0.018856;0.019580
PERCENTAGE_CHECK_NEW_LOCATION;0.012690;0.008913;0.045417;0.032257;0.027798;0.064231;0.032257;0.026113;0.036500;0.032257;0.032057;0.032729;0.032257;0.029774;0.046506
PROCESSING_ACPS_ARACAJU;0.004310;0.004808;0.000000;0.022900;0.024043;0.014706;0.022900;0.032313;0.016399;0.022900;0.026031;0.015488;0.022900;0.023955;0.016846
PROCESSING_ACPS_BELEM;0.004310;0.004808;0.000000;0.022300;0.023473;0.013889;0.022300;0.032069;0.015554;0.022300;0.025747;0.014141;0.022300;0.023485;0.015499
PROCESSING_ACPS_BELO HORIZONTE;0.073276;0.076923;0.041667;0.022300;0.022789;0.018791;0.022300;0.028397;0.018090;0.022300;0.027881;0.009091;0.022300;0.023250;0.016846
PROCESSING_ACPS_BRASILIA;0.392241;0.432692;0.041667;0.022500;0.025068;0.004085;0.022500;0.033537;0.014877;0.022500;0.018919;0.030976;0.022500;0.025364;0.006065
PROCESSING_ACPS_CAMPINA GRANDE;0.004310;0.004808;0.000000;0.024200;0.025410;0.015523;0.024200;0.029621;0.020456;0.024200;0.027169;0.017172;0.024200;0.024777;0.020889
PROCESSING_ACPS_CAMPINAS;0.008621;0.004808;0.041667;0.022500;0.023701;0.013889;0.022500;0.029621;0.017582;0.022500;0.026174;0.013805;0.022500;0.024190;0.012803
PROCESSING_ACPS_CAMPO GRANDE;0.004310;0.000000;0.041667;0.018100;0.015725;0.035131;0.018100;0.004651;0.027388;0.018100;0.013656;0.028620;0.018100;0.015265;0.034367
PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;0.004310;0.000000;0.041667;0.022900;0.019827;0.044935;0.022900;0.006120;0.034489;0.022900;0.016358;0.038384;0.022900;0.019375;0.043127
PROCESSING_ACPS_CAXIAS DO SUL;0.004310;0.004808;0.000000;0.021100;0.021764;0.016340;0.021100;0.024725;0.018597;0.021100;0.024751;0.012458;0.021100;0.022428;0.013477
