;0;1
ALPHA;0.4989;0.3657
BETA;0.4882;0.5600
HOUSE_VACANCY;0.1121;0.0686
LABOR_MARKET;0.5034;0.3457
MARKUP;0.1960;0.3286
MEMBERS_PER_FAMILY;3.0379;2.4971
PCT_DISTANCE_HIRING;0.4970;0.1429
PERCENTAGE_ACTUAL_POP;0.2019;0.2157
PERCENTAGE_CHECK_NEW_LOCATION;0.1266;0.1600
PRODUCTION_MAGNITUDE;81.1345;87.9157
SIZE_MARKET;17.8092;18.9500
STICKY_PRICES;0.4894;0.4486
TAX_CONSUMPTION;0.0020;0.0017
TAX_ESTATE_TRANSACTION;0.0000035;0.0000031
TAX_FIRM;0.002024;0.002005
TAX_LABOR;0.000766;0.000616
TAX_PROPERTY;0.0000020;0.0000018
TREASURE_INTO_SERVICES;0.6051;0.7157
ALTERNATIVE0_False;0.5198;0.8571
ALTERNATIVE0_True;0.4802;0.1429
FPM_DISTRIBUTION_False;0.5003;0.8571
FPM_DISTRIBUTION_True;0.4997;0.1429
PROCESSING_ACPS_ARACAJU;0.0226;0.0000
PROCESSING_ACPS_BELEM;0.0256;0.0000
PROCESSING_ACPS_BELO HORIZONTE;0.0166;0.5714
PROCESSING_ACPS_BRASILIA;0.0206;0.0000
PROCESSING_ACPS_CAMPINA GRANDE;0.0176;0.0000
PROCESSING_ACPS_CAMPINAS;0.0176;0.0000
PROCESSING_ACPS_CAMPO GRANDE;0.0201;0.0000
PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;0.0221;0.0000
PROCESSING_ACPS_CAXIAS DO SUL;0.0216;0.0000
PROCESSING_ACPS_CUIABA;0.0171;0.0000
PROCESSING_ACPS_CURITIBA;0.0231;0.0000
PROCESSING_ACPS_FEIRA DE SANTANA;0.0211;0.0000
PROCESSING_ACPS_FLORIANOPOLIS;0.0166;0.0000
PROCESSING_ACPS_FORTALEZA;0.0171;0.0000
PROCESSING_ACPS_GOIANIA;0.0186;0.0000
PROCESSING_ACPS_ILHEUS - ITABUNA;0.0206;0.0000
PROCESSING_ACPS_IPATINGA;0.0226;0.0000
PROCESSING_ACPS_JOAO PESSOA;0.0266;0.0000
PROCESSING_ACPS_JOINVILLE;0.0191;0.0000
PROCESSING_ACPS_JUAZEIRO DO NORTE - CRATO - BARBALHA;0.0221;0.0000
PROCESSING_ACPS_JUIZ DE FORA;0.0261;0.0000
PROCESSING_ACPS_JUNDIAI;0.0221;0.0000
PROCESSING_ACPS_LONDRINA;0.0271;0.0000
PROCESSING_ACPS_MACAPA;0.0196;0.0000
PROCESSING_ACPS_MACEIO;0.0241;0.0000
PROCESSING_ACPS_MANAUS;0.0261;0.0000
PROCESSING_ACPS_MARINGA;0.0221;0.0000
PROCESSING_ACPS_NATAL;0.0206;0.0000
PROCESSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;0.0236;0.0000
PROCESSING_ACPS_PELOTAS - RIO GRANDE;0.0246;0.0000
PROCESSING_ACPS_PETROLINA - JUAZEIRO;0.0276;0.0000
PROCESSING_ACPS_PORTO ALEGRE;0.0246;0.0000
PROCESSING_ACPS_RECIFE;0.0211;0.0000
PROCESSING_ACPS_RIBEIRAO PRETO;0.0216;0.0000
PROCESSING_ACPS_RIO DE JANEIRO;0.0221;0.4286
PROCESSING_ACPS_SALVADOR;0.0226;0.0000
PROCESSING_ACPS_SANTOS;0.0251;0.0000
PROCESSING_ACPS_SAO JOSE DO RIO PRETO;0.0130;0.0000
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.0236;0.0000
PROCESSING_ACPS_SAO LUIS;0.0226;0.0000
PROCESSING_ACPS_SAO PAULO;0.0231;0.0000
PROCESSING_ACPS_SOROCABA;0.0171;0.0000
PROCESSING_ACPS_TERESINA;0.0246;0.0000
PROCESSING_ACPS_UBERLANDIA;0.0241;0.0000
PROCESSING_ACPS_VITORIA;0.0221;0.0000
PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;0.0211;0.0000
WAGE_IGNORE_UNEMPLOYMENT_False;0.4962;0.7143
WAGE_IGNORE_UNEMPLOYMENT_True;0.5038;0.2857
