;count;mean;std;min;25%;50%;75%;max
ALPHA;232.0;0.247844827586207;0.06865821031209733;0.05;0.24;0.24;0.24;0.95
BETA;232.0;0.7007327586206896;0.02669171694357688;0.5;0.7;0.7;0.7;0.95
HOUSE_VACANCY;232.0;0.060948275862068975;0.032352989471614683;0.04;0.05;0.05;0.05;0.34
LABOR_MARKET;232.0;0.06745689655172417;0.09627251114647488;0.01;0.05;0.05;0.05;0.99
MARKUP;232.0;0.21368534482758617;0.07760706973899771;0.05;0.15;0.15;0.3;0.4
MEMBERS_PER_FAMILY;232.0;2.5107758620689653;0.2204193204268524;1.0;2.5;2.5;2.5;5.0
PCT_DISTANCE_HIRING;232.0;0.18706896551724134;0.10690058691563813;0.0;0.17;0.17;0.17;1.0
PERCENTAGE_ACTUAL_POP;232.0;0.018577586206896556;0.0045729315804295;0.01;0.02;0.02;0.02;0.05
PERCENTAGE_CHECK_NEW_LOCATION;232.0;0.012689655172413796;0.025079583733126427;0.004;0.01;0.01;0.01;0.25
PRODUCTION_MAGNITUDE;232.0;80.66163793103448;16.623301407558017;1.0;76.0;76.0;76.0;121.0
SIZE_MARKET;232.0;10.206896551724139;2.0280169290656334;2.0;10.0;10.0;10.0;30.0
STICKY_PRICES;232.0;0.5077586206896553;0.0587029532638588;0.05;0.5;0.5;0.5;0.95
TAX_CONSUMPTION;232.0;0.0006453017241379311;0.0007306027247888389;1e-05;0.00039;0.00039;0.00039;0.0026
TAX_ESTATE_TRANSACTION;232.0;0.000484145948275862;0.00130536774029289;1e-08;1.5e-06;1.5e-06;1.5e-06;0.004
TAX_FIRM;232.0;0.0005308620689655172;0.00026529365895440303;1e-05;0.00044;0.00044;0.00044;0.0012
TAX_LABOR;232.0;0.00019526293103448272;0.00017903162023560448;6.2e-06;0.00013000000000000002;0.00013000000000000002;0.00013000000000000002;0.00101
TAX_PROPERTY;232.0;2.089655172413793e-06;1.953882684020935e-06;1e-08;1.4e-06;1.4e-06;1.4e-06;1.001e-05
TREASURE_INTO_SERVICES;232.0;0.8501293103448276;0.3310503821185244;0.01;1.0;1.0;1.0;1.2100000000000002
ALTERNATIVE0_False;232.0;0.07758620689655173;0.26809774236760436;0.0;0.0;0.0;0.0;1.0
ALTERNATIVE0_True;232.0;0.9224137931034483;0.26809774236760436;0.0;1.0;1.0;1.0;1.0
FPM_DISTRIBUTION_False;232.0;0.07758620689655173;0.26809774236760436;0.0;0.0;0.0;0.0;1.0
FPM_DISTRIBUTION_True;232.0;0.9224137931034483;0.26809774236760436;0.0;1.0;1.0;1.0;1.0
PROCESSING_ACPS_ARACAJU;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_BELEM;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_BELO HORIZONTE;232.0;0.07327586206896551;0.2611522117142344;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_BRASILIA;232.0;0.3922413793103448;0.4893056945263613;0.0;0.0;0.0;1.0;1.0
PROCESSING_ACPS_CAMPINA GRANDE;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_CAMPINAS;232.0;0.008620689655172414;0.0926464821368635;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_CAMPO GRANDE;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_CAMPOS DOS GOYTACAZES;232.0;0.004310344827586207;0.06565321642986126;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_CAXIAS DO SUL;232.0;0.004310344827586207;0.06565321642986126;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_CUIABA;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_CURITIBA;232.0;0.05172413793103448;0.22194838080923762;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_FEIRA DE SANTANA;232.0;0.004310344827586207;0.06565321642986126;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_FLORIANOPOLIS;232.0;0.004310344827586207;0.06565321642986126;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_FORTALEZA;232.0;0.004310344827586207;0.06565321642986126;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_GOIANIA;232.0;0.004310344827586207;0.06565321642986126;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_ILHEUS - ITABUNA;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_IPATINGA;232.0;0.021551724137931036;0.14552846494610117;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_JOAO PESSOA;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_JOINVILLE;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_JUAZEIRO DO NORTE - CRATO - BARBALHA;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_JUIZ DE FORA;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_JUNDIAI;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_LONDRINA;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_MACAPA;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_MACEIO;232.0;0.004310344827586207;0.06565321642986126;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_MANAUS;232.0;0.004310344827586207;0.06565321642986126;0.0;0.0;0.0;0.0;1.0
PROCESSING_ACPS_MARINGA;232.0;0.004310344827586207;0.06565321642986127;0.0;0.0;0.0;0.0;1.0
