;count;mean;std;min;50%;max
ALPHA;250.0;0.506;0.27888331541068895;0.0;0.52;1.0
BETA;250.0;0.49660000000000004;0.27742367523758554;0.01;0.485;0.99
HOUSE_VACANCY;250.0;0.20992000000000002;0.11427084011067039;0.02;0.20500000000000002;0.4
LABOR_MARKET;250.0;0.5254800000000001;0.2853293200558508;0.01;0.53;1.0
MARKUP;250.0;0.24836;0.14822954629079285;0.0;0.26;0.5
MEMBERS_PER_FAMILY;250.0;3.01336;1.1278457583457384;1.05;3.0;4.97
PCT_DISTANCE_HIRING;250.0;0.4797600000000001;0.3104484746647771;0.0;0.41;1.0
PERCENTAGE_ACTUAL_POP;250.0;0.49328000000000005;0.2956410935998235;0.01;0.49;1.0
PROCESSSING_ACPS_ARACAJU;3.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_BELEM;8.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_BELO HORIZONTE;10.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_BRASILIA;5.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_CAMPINA GRANDE;8.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_CAMPINAS;5.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_CAMPO GRANDE;3.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_CAMPOS DOS GOYTACAZES;3.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_CAXIAS DO SUL;5.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_CUIABA;6.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_CURITIBALONDRINA;4.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_FEIRA DE SANTANA;8.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_FLORIANOPOLIS;7.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_FORTALEZA;5.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_GOIANIA;3.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_ILHEUS - ITABUNA;6.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_JOAO PESSOA;8.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_JOINVILLE;6.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_JUAZEIRO DO NORTE - CRATO - BARBALHA;7.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_JUIZ DE FORA;6.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_JUNDIAI;9.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_MACAPA;1.0;1.0;;1.0;1.0;1.0
PROCESSSING_ACPS_MACEIO;7.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_MANAUS;5.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_MARINGA;6.0;1.0;0.0;1.0;1.0;1.0
PROCESSSING_ACPS_NATAL;1.0;1.0;;1.0;1.0;1.0
PROCESSSING_ACPS_NOVO HAMBURGO - SAO LEOPOLDO;7.0;1.0;0.0;1.0;1.0;1.0
